id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
6390823,美国队长2,,https://dou.img.lithub.cc/movie/6390823.jpg,2014-04-04(中国大陆),https://movie.douban.com/subject/6390823/,8.1,"动作,科幻,惊悚",4,,,2026-01-25 17:16:01,2014 / 美国 / 动作 科幻 惊悚 冒险 / 安东尼·罗素 乔·罗素 / 克里斯·埃文斯 斯嘉丽·约翰逊
34874432,花束般的恋爱,,https://dou.img.lithub.cc/movie/34874432.jpg,2022-02-22(中国大陆),https://movie.douban.com/subject/34874432/,8.6,"剧情,爱情",4,,,2026-01-23 07:56:45,2021 / 日本 / 剧情 爱情 / 土井裕泰 / 菅田将晖 有村架纯
3279107,大兵小将,,https://dou.img.lithub.cc/movie/3279107.jpg,2010-02-14(中国大陆),https://movie.douban.com/subject/3279107/,6.9,"喜剧,动作,冒险",4,,,2026-01-01 18:01:40,2010 / 中国大陆 中国香港 / 喜剧 动作 冒险 / 丁晟 / 成龙 王力宏
1939414,功夫之王,,https://dou.img.lithub.cc/movie/1939414.jpg,2008-04-24(中国大陆),https://movie.douban.com/subject/1939414/,5.8,"动作,奇幻,冒险",4,,,2026-01-01 18:01:30,2008 / 美国 中国大陆 / 动作 奇幻 冒险 武侠 古装 / 罗伯·明可夫 / 迈克尔·安格拉诺 成龙
1307023,神话,,https://dou.img.lithub.cc/movie/1307023.jpg,2005-09-23(中国大陆),https://movie.douban.com/subject/1307023/,7,"剧情,喜剧,动作",4,,,2026-01-01 18:01:17,2005 / 中国大陆 中国香港 / 剧情 喜剧 动作 奇幻 冒险 / 唐季礼 / 成龙 金喜善
36467821,蜗牛回忆录,,https://dou.img.lithub.cc/movie/36467821.jpg,2025-09-05(中国大陆),https://movie.douban.com/subject/36467821/,8.4,"剧情,动画",4,蜗牛虽然缓慢迟钝，但爬过的地方都亮晶晶。,"剧情,动作",2026-01-01 10:30:17,2024 / 澳大利亚 / 剧情 动画 / 亚当·艾略特 / 莎拉·斯努克 柯蒂·斯密特-麦菲
36689857,荒野机器人,,https://dou.img.lithub.cc/movie/36689857.jpg,2024-09-20(中国大陆),https://movie.douban.com/subject/36689857/,8.1,"科幻,动画,冒险",4,,,2025-12-17 18:28:11,2024 / 美国 / 科幻 动画 冒险 / 克里斯·桑德斯 / 露皮塔·尼永奥 佩德罗·帕斯卡
36394612,你好，爱美丽,,https://dou.img.lithub.cc/movie/36394612.jpg,2025-05-20(戛纳电影节),https://movie.douban.com/subject/36394612/,8,"动画,家庭",4,,,2025-12-14 12:12:45,2025 / 法国 比利时 / 动画 家庭 / 迈利斯·瓦拉德 韩进光 / 洛伊斯·夏庞蒂埃 维多利亚·格罗布瓦
36650558,常见副作用 第一季,,https://dou.img.lithub.cc/movie/36650558.jpg,2025-02-02(美国),https://movie.douban.com/subject/36650558/,8.6,"剧情,喜剧,动画",3,不太喜欢，以为是科幻片，没想到是政治社会类的故事,,2025-12-07 21:53:28,2025 / 美国 / 剧情 喜剧 动画 惊悚 / 班贾·布鲁克 卡米莉·波泽克 肖恩·巴克卢 文森特·徐 约瑟夫·本奈特 / 大卫·金 艾米丽·彭德加斯特
26817136,疯狂动物城2,,https://dou.img.lithub.cc/movie/26817136.jpg,2025-11-26(美国/中国大陆),https://movie.douban.com/subject/26817136/,8.5,"喜剧,动画,悬疑",4,,,2025-12-07 21:52:11,2025 / 美国 / 喜剧 动画 悬疑 犯罪 冒险 / 杰拉德·布什 拜伦·霍华德 / 金妮弗·古德温 杰森·贝特曼
36195543,阿诺拉,,https://dou.img.lithub.cc/movie/36195543.jpg,2024-05-21(戛纳电影节),https://movie.douban.com/subject/36195543/,6.3,"剧情,喜剧,爱情",3,,,2025-12-06 11:47:10,2024 / 美国 / 剧情 喜剧 爱情 / 肖恩·贝克 / 麦琪·麦迪森 马克·埃德尔斯坦
36600459,捕风追影,,https://dou.img.lithub.cc/movie/36600459.jpg,2025-08-16(中国大陆),https://movie.douban.com/subject/36600459/,8.1,"剧情,动作,犯罪",4,,,2025-12-06 11:46:17,2025 / 中国大陆 中国香港 / 剧情 动作 犯罪 / 杨子 / 成龙 张子枫
35689244,F1：狂飙飞车,,https://dou.img.lithub.cc/movie/35689244.jpg,2025-06-27(美国/中国大陆),https://movie.douban.com/subject/35689244/,8.7,"剧情,动作,运动",4,,,2025-11-23 21:01:04,2025 / 美国 / 剧情 动作 运动 / 约瑟夫·科辛斯基 / 布拉德·皮特 戴姆森·伊德瑞斯
36448279,罗小黑战记2,,https://dou.img.lithub.cc/movie/36448279.jpg,2025-07-18(中国大陆),https://movie.douban.com/subject/36448279/,8.7,"动画,奇幻,冒险",5,连看两部！,,2025-10-26 14:55:16,2025 / 中国大陆 / 动画 奇幻 冒险 / 木头 顾杰 / 山新 刘明月
26709258,罗小黑战记,,https://dou.img.lithub.cc/movie/26709258.jpg,2019-09-07(中国大陆),https://movie.douban.com/subject/26709258/,8,"动作,动画,奇幻",5,好看，没有歇斯底里的情绪渲染，正反派都很理智，小黑很萌,,2025-10-26 14:54:41,2019 / 中国大陆 / 动作 动画 奇幻 / 木头 / 山新 郝祥海
36207392,浪浪人生,,https://dou.img.lithub.cc/movie/36207392.jpg,2025-09-30(中国大陆),https://movie.douban.com/subject/36207392/,6.4,"剧情,喜剧,家庭",1,稀烂的剧情，廉价的人物情绪，每隔三分钟起来的背景音乐，烂的想网暴导演。,,2025-10-06 17:59:06,2025 / 中国大陆 / 剧情 喜剧 家庭 / 马林 / 黄渤 范丞丞
30135113,骡子,,https://dou.img.lithub.cc/movie/30135113.jpg,2019-08-26(中国大陆),https://movie.douban.com/subject/30135113/,7.9,"剧情,犯罪",4,,,2025-08-31 20:54:32,2018 / 美国 / 剧情 犯罪 / 克林特·伊斯特伍德 / 克林特·伊斯特伍德 布莱德利·库珀
36438475,浪浪山小妖怪,,https://dou.img.lithub.cc/movie/36438475.jpg,2025-08-02(中国大陆),https://movie.douban.com/subject/36438475/,8.6,"剧情,喜剧,动画",5,好看,,2025-08-10 19:30:30,2025 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 於水 / 陈子平 路扬
37067150,关于约会的一切,,https://dou.img.lithub.cc/movie/37067150.jpg,2025-02-20(意大利),https://movie.douban.com/subject/37067150/,7.9,"喜剧,爱情",4,,,2025-07-27 15:17:24,2025 / 意大利 / 喜剧 爱情 / 保罗·杰诺维塞 / 爱德华多·莱奥 皮拉尔·福格莉亚蒂
35364691,诡才之道,,https://dou.img.lithub.cc/movie/35364691.jpg,2025-02-22(中国大陆),https://movie.douban.com/subject/35364691/,7.6,"喜剧,恐怖",4,还挺好看的,,2025-06-22 20:59:34,2024 / 中国台湾 / 喜剧 恐怖 / 徐汉强 / 陈柏霖 张榕容
35927475,雷霆特攻队*,,https://dou.img.lithub.cc/movie/35927475.jpg,2025-04-30(中国大陆),https://movie.douban.com/subject/35927475/,6.8,"剧情,动作,科幻",2,没被治愈到，所以不喜欢,,2025-06-03 12:47:18,2025 / 美国 / 剧情 动作 科幻 犯罪 奇幻 冒险 / 杰克·施莱尔 / 弗洛伦丝·皮尤 塞巴斯蒂安·斯坦
30345743,星际宝贝史迪奇,,https://dou.img.lithub.cc/movie/30345743.jpg,2025-05-23(中国大陆),https://movie.douban.com/subject/30345743/,7.2,"喜剧,动作,科幻",4,三星半，因为童年回忆多加半星。,,2025-06-03 12:43:13,2025 / 美国 / 喜剧 动作 科幻 奇幻 冒险 / 迪恩·弗雷斯彻-坎普 / 玛雅·凯洛哈 克里斯·桑德斯
26415434,雷普利,,https://dou.img.lithub.cc/movie/26415434.jpg,2024-04-04(美国),https://movie.douban.com/subject/26415434/,8.7,"剧情,惊悚,犯罪",5,过去那么久，看剧版的还是和看影版的一样，多次因为代入男主的处境尴尬症直犯，得停下缓一阵才能继续看。罗马真美。,,2025-05-04 11:30:22,2024 / 美国 / 剧情 惊悚 犯罪 / 斯蒂文·泽里安 / 安德鲁·斯科特 达科塔·范宁
