day,cost(s)
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,17640
2024-02-19,25528
2024-02-20,16051
2024-02-21,28848
2024-02-22,20059
2024-02-23,19630
2024-02-24,0
2024-02-25,0
2024-02-26,14567
2024-02-27,35019
2024-02-28,6405
2024-02-29,5573
2024-03-01,20420
2024-03-02,0
2024-03-03,0
2024-03-04,18999
2024-03-05,31569
2024-03-06,36341
2024-03-07,41660
2024-03-08,23629
2024-03-09,0
2024-03-10,0
2024-03-11,36984
2024-03-12,35330
2024-03-13,34361
2024-03-14,39242
2024-03-15,34652
2024-03-16,0
2024-03-17,0
2024-03-18,37490
2024-03-19,41607
2024-03-20,25150
2024-03-21,18210
2024-03-22,20031
2024-03-23,0
2024-03-24,0
2024-03-25,18616
2024-03-26,32504
2024-03-27,26852
2024-03-28,35692
2024-03-29,32025
2024-03-30,0
2024-03-31,0
2024-04-01,39027
2024-04-02,41789
2024-04-03,38978
2024-04-04,0
2024-04-05,0
2024-04-06,0
2024-04-07,33547
2024-04-08,34893
2024-04-09,44092
2024-04-10,31462
2024-04-11,36703
2024-04-12,25599
2024-04-13,0
2024-04-14,0
2024-04-15,25228
2024-04-16,32185
2024-04-17,41616
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,19878
2024-04-23,27233
2024-04-24,23908
2024-04-25,16432
2024-04-26,16776
2024-04-27,0
2024-04-28,19714
2024-04-29,9281
2024-04-30,25929
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,30194
2024-05-07,13241
2024-05-08,14963
2024-05-09,0
2024-05-10,0
2024-05-11,15160
2024-05-12,0
2024-05-13,13403
2024-05-14,18724
2024-05-15,16650
2024-05-16,17131
2024-05-17,22101
2024-05-18,0
2024-05-19,0
2024-05-20,11010
2024-05-21,23779
2024-05-22,24822
2024-05-23,36321
2024-05-24,19121
2024-05-25,0
2024-05-26,0
2024-05-27,16122
2024-05-28,31449
2024-05-29,21192
2024-05-30,18395
2024-05-31,25115
2024-06-01,0
2024-06-02,0
2024-06-03,23643
2024-06-04,35483
2024-06-05,17797
2024-06-06,35183
2024-06-07,17734
2024-06-08,0
2024-06-09,0
2024-06-10,0
2024-06-11,28610
2024-06-12,35656
2024-06-13,0
2024-06-14,29367
2024-06-15,0
2024-06-16,0
2024-06-17,28604
2024-06-18,23808
2024-06-19,32426
2024-06-20,33078
2024-06-21,17534
2024-06-22,0
2024-06-23,0
2024-06-24,16565
2024-06-25,30714
2024-06-26,6256
2024-06-27,0
2024-06-28,0
2024-06-29,0
2024-06-30,0
2024-07-01,0
2024-07-02,0
2024-07-03,0
2024-07-03,0
2024-07-04,0
2024-07-04,0
2024-07-04,0
2024-07-04,0
2024-07-05,24047
2024-07-06,0
2024-07-07,0
2024-07-08,11927
2024-07-09,10615
2024-07-10,0
2024-07-11,0
2024-07-12,15896
2024-07-13,0
2024-07-14,0
2024-07-15,14911
2024-07-16,34743
2024-07-17,21053
2024-07-18,23700
2024-07-19,28955
2024-07-20,0
2024-07-21,11777
2024-07-22,22213
2024-07-23,27032
2024-07-24,33495
2024-07-25,29482
2024-07-26,35042
2024-07-27,1051
2024-07-28,0
2024-07-29,31292
2024-07-30,32935
2024-07-31,30499
2024-08-01,13327
2024-08-02,24761
2024-08-03,0
2024-08-04,0
2024-08-05,28696
2024-08-06,17688
2024-08-07,25320
2024-08-08,26210
2024-08-09,31742
2024-08-10,0
2024-08-11,0
2024-08-12,19482
2024-08-13,20640
2024-08-14,28537
2024-08-15,30468
2024-08-16,28587
2024-08-17,91
2024-08-18,142
2024-08-19,22959
2024-08-20,28502
2024-08-21,27604
2024-08-22,27154
2024-08-23,23841
2024-08-24,0
2024-08-25,0
2024-08-26,22632
2024-08-27,32483
2024-08-28,37719
2024-08-29,25938
